well_oligo	plate_oligo	cell_type	replicate	time_point	drug_dose	Combo	catalog_number	vehicle	dose_pattern	dose_character	dose	treatment	CAS.Number	M.w.	name	SMILES
plate2_C6	plate49	A549	rep1	72	S0001_1	plate2_C6plate49	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate2_C12	plate49	A549	rep1	72	S0001_2	plate2_C12plate49	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate8_C6	plate50	A549	rep1	72	S0001_3	plate8_C6plate50	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate8_C12	plate50	A549	rep1	72	S0001_4	plate8_C12plate50	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate9_C6	plate51	A549	rep2	72	S0001_2	plate9_C6plate51	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate9_C12	plate51	A549	rep2	72	S0001_3	plate9_C12plate51	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate10_C6	plate52	A549	rep2	72	S0001_4	plate10_C6plate52	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate10_C12	plate52	A549	rep2	72	S0001_1	plate10_C12plate52	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate3_C6	plate1	K562	rep1	24	S0001_1	plate3_C6plate1	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate3_C12	plate1	K562	rep1	24	S0001_2	plate3_C12plate1	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate4_C6	plate2	K562	rep1	24	S0001_3	plate4_C6plate2	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate4_C12	plate2	K562	rep1	24	S0001_4	plate4_C12plate2	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate5_G5	plate3	K562	rep1	24	S0002_1	plate5_G5plate3	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate5_G11	plate3	K562	rep1	24	S0002_2	plate5_G11plate3	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate6_G5	plate4	K562	rep1	24	S0002_3	plate6_G5plate4	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate6_G11	plate4	K562	rep1	24	S0002_4	plate6_G11plate4	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate7_D6	plate5	K562	rep1	24	S0003_1	plate7_D6plate5	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate7_D12	plate5	K562	rep1	24	S0003_2	plate7_D12plate5	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate8_D6	plate6	K562	rep1	24	S0003_3	plate8_D6plate6	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate8_D12	plate6	K562	rep1	24	S0003_4	plate8_D12plate6	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate9_D4	plate7	K562	rep1	24	S0004_1	plate9_D4plate7	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate9_D10	plate7	K562	rep1	24	S0004_2	plate9_D10plate7	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate10_D4	plate8	K562	rep1	24	S0004_3	plate10_D4plate8	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate10_D10	plate8	K562	rep1	24	S0004_4	plate10_D10plate8	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate3_C6	plate9	A549	rep1	24	S0001_1	plate3_C6plate9	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate3_C12	plate9	A549	rep1	24	S0001_2	plate3_C12plate9	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate4_C6	plate10	A549	rep1	24	S0001_3	plate4_C6plate10	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate4_C12	plate10	A549	rep1	24	S0001_4	plate4_C12plate10	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate5_G5	plate11	A549	rep1	24	S0002_1	plate5_G5plate11	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate5_G11	plate11	A549	rep1	24	S0002_2	plate5_G11plate11	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate6_G5	plate12	A549	rep1	24	S0002_3	plate6_G5plate12	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate6_G11	plate12	A549	rep1	24	S0002_4	plate6_G11plate12	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate7_D6	plate13	A549	rep1	24	S0003_1	plate7_D6plate13	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate7_D12	plate13	A549	rep1	24	S0003_2	plate7_D12plate13	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate8_D6	plate14	A549	rep1	24	S0003_3	plate8_D6plate14	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate8_D12	plate14	A549	rep1	24	S0003_4	plate8_D12plate14	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate9_D4	plate15	A549	rep1	24	S0004_1	plate9_D4plate15	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate9_D10	plate15	A549	rep1	24	S0004_2	plate9_D10plate15	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate10_D4	plate16	A549	rep1	24	S0004_3	plate10_D4plate16	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate10_D10	plate16	A549	rep1	24	S0004_4	plate10_D10plate16	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate3_C6	plate17	MCF7	rep1	24	S0001_1	plate3_C6plate17	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate3_C12	plate17	MCF7	rep1	24	S0001_2	plate3_C12plate17	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate4_C6	plate18	MCF7	rep1	24	S0001_3	plate4_C6plate18	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate4_C12	plate18	MCF7	rep1	24	S0001_4	plate4_C12plate18	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate5_G5	plate19	MCF7	rep1	24	S0002_1	plate5_G5plate19	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate5_G11	plate19	MCF7	rep1	24	S0002_2	plate5_G11plate19	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate6_G5	plate20	MCF7	rep1	24	S0002_3	plate6_G5plate20	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate6_G11	plate20	MCF7	rep1	24	S0002_4	plate6_G11plate20	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate7_D6	plate21	MCF7	rep1	24	S0003_1	plate7_D6plate21	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate7_D12	plate21	MCF7	rep1	24	S0003_2	plate7_D12plate21	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate8_D6	plate22	MCF7	rep1	24	S0003_3	plate8_D6plate22	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate8_D12	plate22	MCF7	rep1	24	S0003_4	plate8_D12plate22	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate9_D4	plate23	MCF7	rep1	24	S0004_1	plate9_D4plate23	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate9_D10	plate23	MCF7	rep1	24	S0004_2	plate9_D10plate23	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate10_D4	plate24	MCF7	rep1	24	S0004_3	plate10_D4plate24	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate10_D10	plate24	MCF7	rep1	24	S0004_4	plate10_D10plate24	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate3_C6	plate25	K562	rep2	24	S0001_2	plate3_C6plate25	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
