catalog_number,product_name_short,IC50_HDAC1,IC50_HDAC2,IC50_HDAC3,IC50_HDAC4,IC50_HDAC6,IC50_HDAC7,IC50_HDAC8,IC50_HDAC9
S1030,Panobinostat,3,3,4,12,61,14,162,6
S1122,Mocetinostat,34,34,998,10000,10000,10000,10000,NA
S1085,Belinostat,41,125,30,115,82,67,216,128
S1095,Dacinostat,5,5,12,23,7,18,162,6
S1045,Trichostatin,2,3,4,6,5,5,456,6
S1053,Entinostat,181,1155,2311,10000,10000,10000,10000,505
S2170,Givinostat,28,56,21,52,27,163,NA,NA
S2818,Tacedinaline,900,900,1200,NA,NA,NA,20000,NA
S8567,Tucidinostat,95,160,67,NA,NA,NA,NA,NA
S2693,Resminostat,42.5,NA,50.1,NA,71.8,NA,NA,870
S1090,Abexinostat,7,19,8.2,NA,17,NA,280,24
S1515,Pracinostat,49,96,43,56,1000,137,140,70
S1096,Quisinostat,0.33,4.9,0.64,3.69,76.8,119,4.3,32
S2759,CUDC-907,1.7,5,1.8,409,27,426,191,554
S1194,CUDC-101,4.5,12.6,9.1,13.2,5.1,373,80,67.2
