CTG,replicate,cell_type,treatment,dose,real_dose
0.717910769,1,A549,Dex,100,50
0.760938593,1,A549,Dex,50,25
0.815833378,1,A549,Dex,10,5
0.804692966,1,A549,Dex,5,2.5
0.800898768,1,A549,Dex,1,0.5
0.888568968,1,A549,Dex,0.5,0.25
0.894058447,1,A549,Dex,0.1,0.05
0.952505247,1,A549,Dex,0,0
0.721462785,2,A549,Dex,100,50
0.77635757,2,A549,Dex,50,25
0.781362682,2,A549,Dex,10,5
0.791211453,2,A549,Dex,5,2.5
0.803239869,2,A549,Dex,1,0.5
0.868952155,2,A549,Dex,0.5,0.25
0.89631882,2,A549,Dex,0.1,0.05
0.997147624,2,A549,Dex,0,0
0.725418438,3,A549,Dex,100,50
0.758355309,3,A549,Dex,50,25
0.78451106,3,A549,Dex,10,5
0.82019267,3,A549,Dex,5,2.5
0.79944567,3,A549,Dex,1,0.5
0.833916366,3,A549,Dex,0.5,0.25
0.903019213,3,A549,Dex,0.1,0.05
1.050347129,3,A549,Dex,0,0
0.004517559,1,A549,BMS,100,1000
0.006478009,1,A549,BMS,50,500
0.483123082,1,A549,BMS,10,100
0.550630753,1,A549,BMS,5,50
0.555915445,1,A549,BMS,1,10
0.579781793,1,A549,BMS,0.5,5
0.963348108,1,A549,BMS,0.1,1
0.976645073,1,A549,BMS,0,0
0.002642346,2,A549,BMS,100,1000
0.00477327,2,A549,BMS,50,500
0.395243778,2,A549,BMS,10,100
0.582083191,2,A549,BMS,5,50
0.33660075,2,A549,BMS,1,10
0.60006819,2,A549,BMS,0.5,5
1.006051824,2,A549,BMS,0.1,1
1.008523696,2,A549,BMS,0,0
0.002898057,3,A549,BMS,100,1000
0.003494715,3,A549,BMS,50,500
0.440930788,3,A549,BMS,10,100
0.592823048,3,A549,BMS,5,50
0.338731674,3,A549,BMS,1,10
0.679764746,3,A549,BMS,0.5,5
0.978349812,3,A549,BMS,0.1,1
1.014831231,3,A549,BMS,0,0
0.002196564,1,A549,Nutlin,100,250
0.24635314,1,A549,Nutlin,50,125
0.668262461,1,A549,Nutlin,10,25
0.672148691,1,A549,Nutlin,5,12.5
0.830639257,1,A549,Nutlin,1,2.5
0.842213461,1,A549,Nutlin,0.5,1.25
0.983215995,1,A549,Nutlin,0.1,0.25
1.000872994,1,A549,Nutlin,0,0
0.002703464,2,A549,Nutlin,100,250
0.214418474,2,A549,Nutlin,50,125
0.692931569,2,A549,Nutlin,10,25
0.680597015,2,A549,Nutlin,5,12.5
0.833258237,2,A549,Nutlin,1,2.5
0.839509997,2,A549,Nutlin,0.5,1.25
0.956941707,2,A549,Nutlin,0.1,0.25
1.018614475,2,A549,Nutlin,0,0
0.002787947,3,A549,Nutlin,100,250
0.233173754,3,A549,Nutlin,50,125
0.634046747,3,A549,Nutlin,10,25
0.705519572,3,A549,Nutlin,5,12.5
0.836637567,3,A549,Nutlin,1,2.5
0.834694452,3,A549,Nutlin,0.5,1.25
1.003576457,3,A549,Nutlin,0.1,0.25
0.980512532,3,A549,Nutlin,0,0
0.186913229,1,A549,SAHA,100,1000
0.307159791,1,A549,SAHA,50,500
0.533238502,1,A549,SAHA,10,100
0.574395448,1,A549,SAHA,5,50
0.677856804,1,A549,SAHA,1,10
0.761308677,1,A549,SAHA,0.5,5
0.999146515,1,A549,SAHA,0.1,1
1.091133239,1,A549,SAHA,0,0
0.181697487,2,A549,SAHA,100,1000
0.282598388,2,A549,SAHA,50,500
0.540066382,2,A549,SAHA,10,100
0.569464201,2,A549,SAHA,5,50
0.687529635,2,A549,SAHA,1,10
0.768990043,2,A549,SAHA,0.5,5
0.974585111,2,A549,SAHA,0.1,1
1.052441916,2,A549,SAHA,0,0
0.183309625,3,A549,SAHA,100,1000
0.285727833,3,A549,SAHA,50,500
0.616216216,3,A549,SAHA,10,100
0.649027975,3,A549,SAHA,5,50
0.698624941,3,A549,SAHA,1,10
0.763584637,3,A549,SAHA,0.5,5
0.988430536,3,A549,SAHA,0.1,1
0.856424846,3,A549,SAHA,0,0
0.793468087,4,A549,Dex,100,50
0.751802474,4,A549,Dex,50,25
0.802727112,4,A549,Dex,10,5
0.801133345,4,A549,Dex,5,2.5
0.850919578,4,A549,Dex,1,0.5
0.848566875,4,A549,Dex,0.5,0.25
0.864732222,4,A549,Dex,0.1,0.05
1.029573225,4,A549,Dex,0,0
0.777075059,5,A549,Dex,100,50
0.808419135,5,A549,Dex,50,25
0.800070834,5,A549,Dex,10,5
0.772369653,5,A549,Dex,5,2.5
0.839080169,5,A549,Dex,1,0.5
0.841356978,5,A549,Dex,0.5,0.25
0.892964659,5,A549,Dex,0.1,0.05
0.973867287,5,A549,Dex,0,0
0.788838574,6,A549,Dex,100,50
